date,close,high,low,open,volume,rsi,macd,macd_signal,bb_upper,bb_lower,log_return,volume_log_return,bb_width,bb_position,macd_norm,momentum_7d,target_next_return
2020-01-20,8657.642578125,8745.5908203125,8560.4736328125,8704.6318359375,26422375678,67.14714081910492,394.5894352672749,345.7746302915836,9353.612709963721,6884.329770505028,-0.005598131806099833,-0.2585207476545649,2469.2829394586934,0.7181488922480437,0.0455770068707008,0.008733877701225325,0.010141927934056931
2020-01-21,8745.89453125,8755.7060546875,8544.5205078125,8658.9912109375,24097418512,62.74318770891304,385.02189669912696,353.62408357309226,9381.250733582345,7011.263768370782,0.010141927934056931,-0.09210649565903872,2369.986965211563,0.7319157397659527,0.04402315798840282,-0.0013310620765332132,-0.007461951294768086
2020-01-22,8680.8759765625,8792.994140625,8636.7470703125,8744.2109375,22600204051,63.26414801145811,367.9515826698207,356.48958339243796,9336.851029904366,7225.204048220633,-0.007461951294768086,-0.06414578403187682,2111.6469816837334,0.6893538271157851,0.04238645773344226,-0.002060805288052125,-0.03211536772319544
2020-01-23,8406.515625,8687.7470703125,8333.6376953125,8680.650390625,25770680779,61.27439867772349,328.4979287311053,350.8912524601715,9294.170004234029,7374.048208656595,-0.03211536772319544,0.13127850677351724,1920.1217955774337,0.5377093363144578,0.03907658575619495,-0.005292322630671586,0.00461893300829455
2020-01-24,8445.4345703125,8514.6669921875,8266.8408203125,8405.5673828125,24397913026,56.669991850924,296.9480253712154,340.10260704238027,9242.30904334075,7529.386952752999,0.00461893300829455,-0.05473984489650929,1712.9220905877519,0.5347865046475317,0.035160775079005516,-0.007954666303149522,-0.009229306182408406
2020-01-25,8367.84765625,8458.453125,8296.21875,8440.119140625,19647331549,58.09928740398727,262.6561475387243,324.6133151416491,9157.569359284553,7709.779664152945,-0.009229306182408406,-0.21655606685913056,1447.789695131608,0.45453286089094624,0.031388734394864934,-0.009493285511474048,0.02699683810277081
2020-01-26,8596.830078125,8602.4013671875,8325.498046875,8364.41015625,22177678796,59.567109329941886,251.0624632606905,309.9031447654574,9130.395022922195,7819.7150844996795,0.02699683810277081,0.12114479336430434,1310.679938422516,0.5929098102775826,0.029204074173750347,-0.0018067225659070675,0.03576042498236325
2020-01-27,8909.8193359375,8977.7265625,8597.30859375,8597.30859375,28647338393,66.099131221883,264.0857857371793,300.7396729598018,9177.939544065555,7846.783258668817,0.03576042498236325,0.2559742146523446,1331.156285396738,0.798580969740196,0.029639858652576366,0.004101642689587659,0.04914065669354804
2020-01-28,9358.58984375,9358.58984375,8908.447265625,8912.5244140625,34398744403,62.38483029457105,307.0790756426959,302.00755349638064,9309.210205214213,7843.385302598288,0.04914065669354804,0.18295952572310734,1465.8249026159247,1.0336872695003545,0.0328125370135517,0.009672889655229246,-0.004493658672814258
2020-01-29,9316.6298828125,9406.431640625,9269.4677734375,9357.470703125,30682598115,61.77356314474274,333.9165671389801,308.38935622490055,9375.123350338214,7921.228016849287,-0.004493658672814258,-0.11432440656484943,1453.8953334889266,0.9597677589443072,0.0358409179434074,0.010096931458365507,0.020437036918080173
2020-01-30,9508.9931640625,9553.1259765625,9230.8974609375,9316.0166015625,32378792851,67.26951414805804,366.48299382822006,320.0080837455645,9500.56884681868,7930.026416853196,0.020437036918080173,0.05380800962101021,1570.5424299654842,1.0053639539321455,0.038540672761578534,0.017604417835690594,-0.01680504867594127
2020-01-31,9350.529296875,9521.7060546875,9230.7763671875,9508.3134765625,29432489719,59.46489558740391,375.1805638651931,331.0425797694902,9546.94225997974,8014.952173614008,-0.01680504867594127,-0.09540451019416915,1531.9900863657322,0.8717922753850498,0.04012399212422987,0.014543849023656907,0.004518472151643944
2020-02-01,9392.875,9439.3232421875,9313.2392578125,9346.357421875,25922656496,59.978512987907166,381.0973421905692,341.053532253706,9600.909167313772,8081.023352217477,0.004518472151643944,-0.126981802158301,1519.8858150962951,0.8631251339749791,0.0405730239346919,0.016507817357092957,-0.005177910236525379
2020-02-02,9344.365234375,9468.7978515625,9217.82421875,9389.8203125,30835736946,65.43497414650393,377.520280176941,348.346881838353,9617.558323529407,8184.3912858455915,-0.005177910236525379,0.1735569533132269,1433.1670376838156,0.8093780543566422,0.040400848073463766,0.011911424737193501,-0.00545597007771587
2020-02-03,9293.521484375,9540.3720703125,9248.6337890625,9344.68359375,30934096509,65.36410527458318,366.35960161723597,351.94942579412964,9660.822703671223,8187.702589297524,-0.00545597007771587,0.0031847146295190163,1473.120114373699,0.750664446359058,0.03942096677058191,0.006023368300039341,-0.0121854536490776
2020-02-04,9180.962890625,9331.265625,9112.8115234375,9292.841796875,29893183716,60.39007985372589,344.4614089238239,350.45182242006854,9685.945470953955,8199.975036858546,-0.0121854536490776,-0.034228537403734015,1485.9704340954086,0.6601664684957035,0.03751909391503645,-0.0027375046060500374,0.04602834799275258
2020-02-05,9613.423828125,9701.2998046875,9163.7041015625,9183.416015625,35222060874,68.94564318991374,357.8775275096268,351.9369634379802,9780.044747419615,8194.839529924135,0.04602834799275258,0.16404213062308892,1585.2052174954806,0.8948900007036564,0.03722685423091631,0.004479924917602367,0.012033084493942919
2020-02-06,9729.8017578125,9824.619140625,9539.818359375,9617.8212890625,37628823716,78.7279718895,373.5940646387062,356.26838367812536,9885.834365397657,8169.126279133592,0.012033084493942919,0.06609772924247219,1716.708086264065,0.909109411882816,0.0383968835067714,0.003279360285582761,0.0067748353927720014
2020-02-07,9795.943359375,9834.716796875,9726.0029296875,9726.0029296875,34522718159,78.97646674765734,386.92636177743043,362.3999792979864,9993.134419537553,8147.139701556196,0.0067748353927720014,-0.08615274022331125,1845.994717981357,0.8931789683672119,0.03949863199312303,0.0066479151525418,0.0070368594474600355
2020-02-08,9865.119140625,9876.7490234375,9678.91015625,9793.0703125,35172043762,82.24177451033995,398.4807724356615,369.61613792552146,10099.143045312445,8157.018478125053,0.0070368594474600355,0.01863395105896832,1942.1245671873921,0.8795010842032442,0.040392900152082294,0.007007684766229813,0.025179720219250152
2020-02-09,10116.673828125,10129.435546875,9850.392578125,9863.89453125,35807884663,82.41274516991116,423.05932255324296,380.3047748510658,10240.124525221363,8161.940123216135,0.025179720219250152,0.01791655539584458,2078.1844020052276,0.9405968512812497,0.04181802534515949,0.01134448911705489,-0.026042505869956382
2020-02-10,9856.611328125,10165.765625,9784.5634765625,10115.5595703125,39386548075,70.65798114453034,416.7491060065822,387.5936410821691,10311.839013805518,8201.297314319483,-0.026042505869956382,0.09525622745057628,2110.541699486035,0.7843076562798258,0.04228117474992893,0.008403555432449101,0.03505244674627077
2020-02-11,10208.236328125,10210.052734375,9729.3349609375,9855.8916015625,37648059389,69.35904339351434,435.1057841423153,397.0960696941984,10432.906803982562,8232.96555929869,0.03505244674627077,-0.04514292912612812,2199.9412446838724,0.89787432896157,0.042623012453536474,0.015151826917498867,0.011475404940052
2020-02-12,10326.0546875,10393.611328125,10202.3876953125,10202.3876953125,43444303830,72.23107129292164,453.9279420148432,408.46244415832734,10523.492199820083,8334.334069711169,0.011475404940052,0.14319833652965414,2189.1581301089136,0.909811214820206,0.043959474915849193,0.0102156921956845,-0.010873762642183454
2020-02-13,10214.3798828125,10457.626953125,10116.1611328125,10323.9609375,49356071373,66.10756394269109,454.5931474724948,417.6885848211609,10562.072434799236,8472.648365982015,-0.010873762642183454,0.12758103912653201,2089.4240688172213,0.83359407160252,0.0445052125227326,0.00694328546195216,0.009523015160699344
2020-02-14,10312.1162109375,10321.99609375,10125.5341796875,10211.55078125,43338264162,72.58427718799126,457.73040131427297,425.6969481197833,10566.636254682853,8662.511401567146,0.009523015160699344,-0.13002484145290882,1904.124853115707,0.8663322715788568,0.04438763023527443,0.007335882571656066,-0.04185355039924229
2020-02-15,9889.4248046875,10341.5556640625,9874.427734375,10313.8564453125,43865054831,59.894460027095256,421.25309027789626,424.80817655140595,10507.862502179018,8850.544626727231,-0.04185355039924229,0.012082041905951451,1657.3178754517867,0.6268442483771813,0.042596318653257366,0.0003515383078414492,0.004540878520857384
2020-02-16,9934.43359375,10053.96875,9722.38671875,9889.1796875,43374780305,61.77437810518702,391.4638401287084,418.13930926686646,10481.911114469356,8978.957440218142,0.004540878520857384,-0.011239812334079806,1502.9536742512137,0.6357322716598364,0.03940474677640284,-0.0025968676490718033,-0.02489772344158013
2020-02-17,9690.142578125,9938.8154296875,9507.6376953125,9936.560546875,45998298413,57.34707256767288,344.17595525964316,403.34663846542185,10478.30731869086,9015.716509434138,-0.02489772344158013,0.05872623154338437,1462.5908092567224,0.46111739826475395,0.035518151821274824,-0.0024333273021609103,0.04557569247775114
2020-02-18,10141.99609375,10161.935546875,9632.3828125,9691.23046875,47271023953,65.81441256593504,339.2501041983014,390.52733161199774,10510.409961053168,9066.15048816558,0.04557569247775114,0.027293101581310236,1444.2594728875883,0.7449115797957531,0.03345003301740218,-0.0009300064833780004,-0.05144998404328957
2020-02-19,9633.38671875,10191.67578125,9611.2236328125,10143.798828125,46992019710,50.3204706130235,290.9518934898624,370.6122439875707,10508.59940747907,9080.40039720843,-0.05144998404328957,-0.005919712475210058,1428.1990102706404,0.38719136308349145,0.030202451327274806,-0.00991934776671251,-0.0025892656683303506
2020-02-20,9608.4755859375,9643.216796875,9507.900390625,9629.3251953125,44925260237,47.99338439324097,247.8085110467564,346.0514973994078,10496.61864233304,9118.17579126071,-0.0025892656683303506,-0.0449775685374835,1378.44285107233,0.35569105697419096,0.02579061671441794,-0.00873584819901921,0.008081532009711982
2020-02-21,9686.44140625,9723.0146484375,9589.7431640625,9611.7822265625,40930547513,48.196001181536374,217.40218270689365,320.321634460905,10486.17237562156,9157.97869859719,0.008081532009711982,-0.09312355812287214,1328.1936770243701,0.397880758502298,0.02244396818078297,-0.008941774363445976,-0.002404158134973382
2020-02-22,9663.181640625,9698.2314453125,9600.728515625,9687.70703125,35838025154,46.62205959226346,189.24656315763605,294.1066202002512,10468.275258916146,9207.757455927604,-0.002404158134973382,-0.13286718237025275,1260.5178029885428,0.36129928797298755,0.019584291198876384,-0.0033061468971218463,0.02668506547579107
2020-02-23,9924.515625,9937.404296875,9657.791015625,9663.318359375,41185185761,46.796126369099525,185.8778165303538,272.46085946627176,10445.929367291243,9293.202761615008,0.02668506547579107,0.13906913792865067,1152.7266056762346,0.5476692047149301,0.018729157528063624,-0.00014269161784560537,-0.028031992193656916
2020-02-24,9650.1748046875,9951.74609375,9537.04296875,9921.5830078125,45080496648,46.57437281939175,159.2354816090592,249.81578389482925,10383.112543697016,9402.940776615485,-0.028031992193656916,0.09037108335995454,980.1717670815306,0.25223541054228044,0.016500787273999614,-0.0005904442967137176,-0.03248723753845248
2020-02-25,9341.705078125,9652.7373046875,9305.021484375,9651.3125,42515259129,35.41175913540644,111.93993638529355,222.2406143929221,10415.107746507261,9343.77369880524,-0.03248723753845248,-0.058586656326322775,1071.334047702021,-0.0019308829815270026,0.011982816354095534,-0.011742291441885664,-0.057407687925487366
2020-02-26,8820.5224609375,9354.7783203125,8704.4267578125,9338.2900390625,50420050762,27.684771019448576,32.033531931369,184.19919790061152,10547.83029362504,9120.123221999958,-0.057407687925487366,0.1705258787213441,1427.7070716250819,-0.20984750094515475,0.0036317045926964595,-0.012593391996485348,-0.004092966388449268
2020-02-27,8784.494140625,8932.892578125,8577.19921875,8825.09375,45470195695,28.31983989703943,-33.810309439866614,140.59729643251592,10638.032979999258,8928.775613750742,-0.004092966388449268,-0.10333185688793285,1709.2573662485156,-0.0844117895728759,-0.0038488624272064315,-0.012808206385073764,-0.012836217768337236
2020-02-28,8672.455078125,8890.4560546875,8492.9326171875,8788.728515625,44605450443,25.246552161848257,-93.94965100491208,93.68790694503033,10710.60674435962,8736.935443140379,-0.012836217768337236,-0.01920101285288257,1973.6713012192413,-0.03267026529468883,-0.010833108982240375,-0.01579645635336651,-0.008446835964171201
2020-02-29,8599.5087890625,8775.6318359375,8599.5087890625,8671.212890625,35792392544,28.22735643354804,-145.81579465197137,45.78716662562999,10735.669155404337,8560.156528189413,-0.008446835964171201,-0.22012068674683205,2175.5126272149246,0.018088730159864747,-0.016956293461485944,-0.01665969604325191,-0.004318240904803676
2020-03-01,8562.4541015625,8726.796875,8471.212890625,8599.7587890625,35349164300,26.779847473992533,-187.7458732113264,-0.919441341761285,10768.304488768512,8398.105472168989,-0.004318240904803676,-0.012460620727008985,2370.199016599523,0.06933959057549079,-0.02192664287415754,-0.021088739811908307,0.035250739590151826
2020-03-02,8869.669921875,8921.30859375,8532.630859375,8563.2646484375,42857674409,36.40345880275399,-193.95027532593303,-39.525608138595636,10703.93859192418,8328.614728388322,0.035250739590151826,0.19260997707300642,2375.3238635358575,0.22778165192221275,-0.021866684671951468,-0.012048349557078484,-0.009274764811755473
2020-03-03,8787.7861328125,8901.5986328125,8704.990234375,8865.3876953125,42386715821,24.42224087207532,-203.13305473893524,-72.24709745866356,10605.256934568974,8273.469530274775,-0.009274764811755473,-0.01104972136183059,2331.7874042941985,0.2205675361271545,-0.023115384428902028,-0.008732282024693198,-0.0037097436703969933
